id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,correct_calls
1,11/5/22,Lance Barksdale,HOU,PHI,4,1,124,4,120
2,11/3/22,Jordan Baker,PHI,HOU,2,3,149,6,143
3,11/2/22,Tripp Gibson,PHI,HOU,0,5,124,7,117
4,11/1/22,Dan Iassogna,PHI,HOU,7,0,140,5,135
5,10/29/22,Pat Hoberg,HOU,PHI,5,2,129,0,129
6,10/28/22,James Hoye,HOU,PHI,5,6,173,10,163
7,10/23/22,Quinn Wolcott,PHI,SD,4,3,132,4,128
8,10/23/22,Adrian Johnson,NYY,HOU,5,6,164,8,156
9,10/22/22,Alfonso Marquez,NYY,HOU,0,5,158,9,149
10,10/22/22,Adam Hamari,PHI,SD,10,6,144,8,136
11,10/21/22,Ted Barrett,PHI,SD,4,2,144,6,138
12,10/20/22,D.J. Reyburn,HOU,NYY,3,2,126,6,120
13,10/19/22,Lance Barrett,SD,PHI,8,5,160,6,154
14,10/19/22,Mike Muchlinski,HOU,NYY,4,2,149,9,140
15,10/18/22,Alan Porter,NYY,CLE,5,1,132,6,126
16,10/18/22,Brian Knight,SD,PHI,0,2,118,4,114
17,10/16/22,Will Little,CLE,NYY,2,4,130,5,125
18,10/15/22,Stu Scheurwater,PHI,ATL,8,3,129,8,121
19,10/15/22,Marvin Hudson,SEA,HOU,0,1,219,16,203
20,10/15/22,Dan Iassogna,CLE,NYY,6,5,149,9,140
21,10/15/22,John Tumpane,SD,LAD,5,3,158,11,147
22,10/14/22,Jeremie Rehak,NYY,CLE,2,4,197,13,184
23,10/14/22,Bill Miller,PHI,ATL,9,1,128,10,118
24,10/14/22,Mark Carlson,SD,LAD,2,1,178,8,170
25,10/13/22,Jansen Visconti,HOU,SEA,4,2,141,7,134
26,10/12/22,Nic Lentz,ATL,PHI,3,0,112,7,105
27,10/12/22,Chris Segal,LAD,SD,3,5,160,11,149
28,10/11/22,David Rackley,ATL,PHI,6,7,164,4,160
29,10/11/22,Pat Hoberg,HOU,SEA,8,7,146,6,140
30,10/11/22,Jordan Baker,NYY,CLE,4,1,121,7,114
31,10/11/22,Tripp Gibson,LAD,SD,5,3,138,10,128
32,10/9/22,Chris Conroy,NYM,SD,0,6,132,5,127
33,10/8/22,Adam Hamari,CLE,TB,1,0,204,7,197
34,10/8/22,Todd Tichenor,TOR,SEA,9,10,169,9,160
35,10/8/22,Chris Guccione,NYM,SD,7,3,205,8,197
36,10/8/22,Vic Carapazza,STL,PHI,0,2,143,4,139
37,10/7/22,Doug Eddings,CLE,TB,2,1,108,12,96
38,10/7/22,D.J. Reyburn,STL,PHI,3,6,179,13,166
39,10/7/22,Lance Barrett,TOR,SEA,0,4,113,11,102
40,10/7/22,Adrian Johnson,NYM,SD,1,7,139,7,132
41,10/5/22,Bill Miller,BAL,TOR,5,4,140,9,131
42,10/5/22,Brian Knight,BAL,TOR,1,5,151,6,145
43,10/5/22,Adam Beck,OAK,LAA,3,2,122,5,117
